Date,Product,Units_Sold,Price_Per_Unit,Total_Revenue,Region
2025-05-17,Widget A,8,58.41,467.28,East
2025-05-17,Widget B,14,30.76,430.64,East
2025-05-17,Gadget X,36,29.26,1053.36,North
2025-05-17,Tool Pro,36,72.49,2609.64,South
2025-05-17,Device Z,23,85.97,1977.31,South
2025-05-18,Widget A,27,48.1,1298.7,South
2025-05-18,Widget B,46,99.67,4584.82,East
2025-05-18,Gadget X,36,95.55,3439.8,South
2025-05-18,Tool Pro,23,33.94,780.62,West
2025-05-18,Device Z,22,46.65,1026.3,North
2025-05-19,Widget A,32,54.25,1736.0,East
2025-05-19,Widget B,21,54.87,1152.27,North
2025-05-19,Gadget X,18,46.94,844.92,East
2025-05-19,Tool Pro,5,82.94,414.7,East
2025-05-19,Device Z,34,40.41,1373.94,West
2025-05-20,Widget A,44,36.81,1619.64,South
2025-05-20,Widget B,21,45.55,956.55,West
2025-05-20,Gadget X,8,11.07,88.56,East
2025-05-20,Tool Pro,28,94.5,2646.0,West
2025-05-20,Device Z,24,48.7,1168.8,West
2025-05-21,Widget A,7,80.28,561.96,North
2025-05-21,Widget B,43,22.13,951.59,West
2025-05-21,Gadget X,14,71.47,1000.58,West
2025-05-21,Tool Pro,18,76.64,1379.52,West
2025-05-21,Device Z,19,40.59,771.21,West
2025-05-22,Widget A,48,88.9,4267.2,East
2025-05-22,Widget B,18,40.4,727.2,East
2025-05-22,Gadget X,26,77.96,2026.96,West
2025-05-22,Tool Pro,29,31.69,919.01,South
2025-05-22,Device Z,17,52.43,891.31,West
2025-05-23,Widget A,46,80.54,3704.84,East
2025-05-23,Widget B,19,99.43,1889.17,East
2025-05-23,Gadget X,47,75.6,3553.2,East
2025-05-23,Tool Pro,19,86.1,1635.9,North
2025-05-23,Device Z,10,24.92,249.2,North
