Date,Product,Units_Sold,Price_Per_Unit,Total_Revenue,Region
2025-05-17,Widget A,44,45.36,1995.84,West
2025-05-17,Widget B,47,49.33,2318.51,South
2025-05-17,Gadget X,21,61.57,1292.97,East
2025-05-17,Tool Pro,23,33.83,778.09,North
2025-05-17,Device Z,32,80.83,2586.56,North
2025-05-18,Widget A,39,94.23,3674.97,South
2025-05-18,Widget B,13,26.95,350.35,North
2025-05-18,Gadget X,27,31.91,861.57,West
2025-05-18,Tool Pro,27,15.09,407.43,West
2025-05-18,Device Z,50,17.47,873.5,South
2025-05-19,Widget A,19,17.79,338.01,West
2025-05-19,Widget B,19,55.07,1046.33,North
2025-05-19,Gadget X,43,25.84,1111.12,South
2025-05-19,Tool Pro,12,81.02,972.24,East
2025-05-19,Device Z,19,92.02,1748.38,North
2025-05-20,Widget A,18,82.18,1479.24,South
2025-05-20,Widget B,16,64.79,1036.64,East
2025-05-20,Gadget X,9,33.96,305.64,West
2025-05-20,Tool Pro,9,27.41,246.69,South
2025-05-20,Device Z,39,62.62,2442.18,South
2025-05-21,Widget A,26,60.17,1564.42,South
2025-05-21,Widget B,23,98.68,2269.64,South
2025-05-21,Gadget X,48,79.55,3818.4,South
2025-05-21,Tool Pro,50,78.92,3946.0,East
2025-05-21,Device Z,24,27.34,656.16,North
2025-05-22,Widget A,34,89.46,3041.64,West
2025-05-22,Widget B,50,87.56,4378.0,North
2025-05-22,Gadget X,28,91.81,2570.68,West
2025-05-22,Tool Pro,28,26.5,742.0,South
2025-05-22,Device Z,38,77.06,2928.28,East
2025-05-23,Widget A,21,16.0,336.0,South
2025-05-23,Widget B,6,90.55,543.3,South
2025-05-23,Gadget X,27,95.43,2576.61,East
2025-05-23,Tool Pro,22,89.16,1961.52,West
2025-05-23,Device Z,10,25.35,253.5,West
