Date,Product,Units_Sold,Price_Per_Unit,Total_Revenue,Region
2025-05-20,Widget A,30,96.47,2894.1,North
2025-05-20,Widget B,39,83.11,3241.29,East
2025-05-20,Gadget X,40,70.4,2816.0,East
2025-05-20,Tool Pro,46,94.64,4353.44,West
2025-05-20,Device Z,48,63.34,3040.32,West
2025-05-21,Widget A,8,30.64,245.12,North
2025-05-21,Widget B,20,61.2,1224.0,South
2025-05-21,Gadget X,49,41.48,2032.52,South
2025-05-21,Tool Pro,9,76.32,686.88,North
2025-05-21,Device Z,32,19.37,619.84,West
2025-05-22,Widget A,10,30.98,309.8,North
2025-05-22,Widget B,14,69.06,966.84,South
2025-05-22,Gadget X,43,29.24,1257.32,East
2025-05-22,Tool Pro,30,63.52,1905.6,West
2025-05-22,Device Z,27,55.52,1499.04,West
2025-05-23,Widget A,8,34.23,273.84,North
2025-05-23,Widget B,40,34.46,1378.4,West
2025-05-23,Gadget X,13,12.42,161.46,South
2025-05-23,Tool Pro,21,26.36,553.56,North
2025-05-23,Device Z,50,94.78,4739.0,West
2025-05-24,Widget A,39,49.19,1918.41,North
2025-05-24,Widget B,18,77.03,1386.54,West
2025-05-24,Gadget X,18,11.16,200.88,West
2025-05-24,Tool Pro,37,59.93,2217.41,South
2025-05-24,Device Z,39,47.89,1867.71,North
2025-05-25,Widget A,38,59.21,2249.98,West
2025-05-25,Widget B,31,80.82,2505.42,North
2025-05-25,Gadget X,31,37.17,1152.27,North
2025-05-25,Tool Pro,14,64.56,903.84,West
2025-05-25,Device Z,10,91.44,914.4,South
2025-05-26,Widget A,30,40.28,1208.4,South
2025-05-26,Widget B,16,52.4,838.4,East
2025-05-26,Gadget X,17,55.06,936.02,West
2025-05-26,Tool Pro,12,58.0,696.0,North
2025-05-26,Device Z,22,93.55,2058.1,North
