Date,Product,Units_Sold,Price_Per_Unit,Total_Revenue,Region
2025-05-18,Widget A,50,64.29,3214.5,East
2025-05-18,Widget B,10,73.59,735.9,West
2025-05-18,Gadget X,23,36.18,832.14,West
2025-05-18,Tool Pro,12,44.77,537.24,East
2025-05-18,Device Z,5,91.0,455.0,South
2025-05-19,Widget A,35,90.25,3158.75,South
2025-05-19,Widget B,50,59.28,2964.0,South
2025-05-19,Gadget X,15,14.54,218.1,North
2025-05-19,Tool Pro,9,77.95,701.55,East
2025-05-19,Device Z,50,58.68,2934.0,East
2025-05-20,Widget A,43,17.53,753.79,North
2025-05-20,Widget B,28,93.17,2608.76,West
2025-05-20,Gadget X,19,94.62,1797.78,South
2025-05-20,Tool Pro,9,29.06,261.54,West
2025-05-20,Device Z,21,51.43,1080.03,East
2025-05-21,Widget A,17,40.07,681.19,North
2025-05-21,Widget B,7,41.08,287.56,North
2025-05-21,Gadget X,33,79.23,2614.59,North
2025-05-21,Tool Pro,33,73.31,2419.23,West
2025-05-21,Device Z,25,17.14,428.5,West
2025-05-22,Widget A,49,26.22,1284.78,West
2025-05-22,Widget B,10,48.52,485.2,South
2025-05-22,Gadget X,49,17.87,875.63,East
2025-05-22,Tool Pro,37,28.49,1054.13,East
2025-05-22,Device Z,31,76.12,2359.72,West
2025-05-23,Widget A,17,30.05,510.85,East
2025-05-23,Widget B,47,36.12,1697.64,West
2025-05-23,Gadget X,21,83.67,1757.07,South
2025-05-23,Tool Pro,50,62.22,3111.0,South
2025-05-23,Device Z,43,99.42,4275.06,West
2025-05-24,Widget A,11,64.47,709.17,East
2025-05-24,Widget B,44,34.0,1496.0,North
2025-05-24,Gadget X,27,51.91,1401.57,West
2025-05-24,Tool Pro,36,82.73,2978.28,South
2025-05-24,Device Z,40,21.66,866.4,North
